stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
LAW-STR-CORP-CORPLAWY,UNI-LAW,LAW-DOM-CORP,Corporate Lawyer,Professional Practice Stream,Law,Core Legal Practice,"Corporate advisory, M&A, contracts",,Corporate Lawyer,Mandatory LLB,After 12th or graduation,LLB with corporate law electives; internships in law firms/companies,LLB; optional LLM/CS/NISM modules,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-INHOUSLEGACOUN,UNI-LAW,LAW-DOM-CORP,In-house Legal Counsel,Legal Domain Stream,Law,Corporate & Institutional,Internal legal advisory,,In-house Legal Counsel,LLB usually mandatory,After LLB,LLB; internships in companies; contract and compliance skills,LLB; CS/MBA optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-CONTLIFEMANASPEC,UNI-LAW,LAW-DOM-CORP,Contract Lifecycle Management Specialist,Legal Operations Stream,Law,Legal Operations,Contract automation and operations,,Contract Lifecycle Management Specialist,"LLB useful, not always mandatory",After graduation,Law/commerce degree; CLM tools; contract drafting,LLB/BCom/MBA; CLM certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-MEDIENTELAWY,UNI-LAW,LAW-DOM-CORP,Media & Entertainment Lawyer,Interdisciplinary Technology-Law Stream,Law,Creative Economy Law,"Film, OTT, music, publishing, sports contracts",,Media & Entertainment Lawyer,LLB generally required,After 12th/graduation,LLB with IP/media law; internships with media houses/law firms,LLB; IP/media law certificate optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-INFRPROJLAWY,UNI-LAW,LAW-DOM-CORP,Infrastructure / Projects Lawyer,Legal Domain Stream,Law,Corporate & Public Contracts,"PPP, EPC, concession, energy projects",,Infrastructure / Projects Lawyer,LLB generally required,After LLB,LLB; infrastructure contracts and project finance,LLB; MBA/finance optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LABOEMPLLAWY,UNI-LAW,LAW-DOM-CORP,Labour & Employment Lawyer,Legal Domain Stream,Law,Corporate & Social Law,"Employment contracts, disputes, HR compliance",,Labour & Employment Lawyer,LLB for practice; HR/compliance routes exist,After LLB/graduation,LLB or HR law path; labour codes and IR exposure,LLB/MHRM/HR certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LEGADESILEGAUX,UNI-LAW,LAW-DOM-CORP,Legal Design / Legal UX Specialist,Interdisciplinary Technology-Law Stream,Law,Legal Technology & Design,"Plain-language contracts, legal journeys",,Legal Design / Legal UX Specialist,LLB not mandatory; law + design ideal,After graduation,Law/design/UX; service design; legal communication,LLB/BDes/UX certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-SMARCONTBLOCLEGA,UNI-LAW,LAW-DOM-CORP,Smart Contract / Blockchain Legal Specialist,Interdisciplinary Technology-Law Stream,Law,Technology & Finance Law,"Blockchain, tokenization, digital assets",,Smart Contract / Blockchain Legal Specialist,LLB preferred; tech/finance route possible,After graduation/LLB,LLB/tech/finance; blockchain basics; fintech regulation,LLB/BTech/MBA; blockchain cert optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LEGADATAANAL,UNI-LAW,LAW-DOM-CORP,Legal Data Analyst,Interdisciplinary Technology-Law Stream,Law,Legal Analytics,"Case, contract, compliance and claims analytics",,Legal Data Analyst,LLB not mandatory; legal domain useful,After graduation,Data analytics + law/domain knowledge; Excel/SQL/BI,BA/BCom/BTech/LLB + analytics certs,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-PHARREGULEGASPEC,UNI-LAW,LAW-DOM-CORP,Pharma Regulatory & Legal Specialist,Legal Domain Stream,Law,Sectoral Compliance,"Drugs, clinical trials, pharma contracts",,Pharma Regulatory & Legal Specialist,Law/pharma/science route,After graduation,Pharmacy/science/law; CDSCO and pharma regulation,BPharm/MPharm/LLB/MSc; regulatory affairs certs,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-MARISHIPLAWY,UNI-LAW,LAW-DOM-CORP,Maritime / Shipping Lawyer,Legal Domain Stream,Law,International & Transport Law,"Shipping contracts, admiralty, logistics",,Maritime / Shipping Lawyer,LLB generally required,After LLB,LLB; maritime law; shipping industry exposure,LLB/LLM Maritime Law optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LEGATRANMULTLEGA,UNI-LAW,LAW-DOM-CORP,Legal Translation / Multilingual Legal Specialist,Legal Domain Stream,Law,Adjacent Legal Profession,"Translation of contracts, judgments, evidence",,Legal Translation / Multilingual Legal Specialist,Law and language expertise useful,After 12th/graduation,Language degree + legal terminology; translation tools,BA/MA Languages/LLB optional; translation certs,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-GOV-COMPSECRWITHLAW,UNI-LAW,LAW-DOM-GOV,Company Secretary with Law Specialization,Legal Domain Stream,Law,Corporate Governance,"Board, secretarial, compliance",,Company Secretary with Law Specialization,CS qualification; LLB strongly useful,After 12th,CSEET after 12th; CS Executive/Professional; optional LLB,ICSI CS; LLB optional/valuable,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-GOV-COMPOFFI,UNI-LAW,LAW-DOM-GOV,Compliance Officer,Legal Domain Stream,Law,Compliance & Governance,General corporate compliance,,Compliance Officer,LLB/CS/MBA useful; depends sector,After graduation,Law/commerce/management degree; compliance certifications,LLB/CS/MBA; NISM/AML/GRC certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-GOV-NGOLEGACOMPOFFI,UNI-LAW,LAW-DOM-GOV,NGO Legal & Compliance Officer,Legal Domain Stream,Law,Social Sector Law,"FCRA, trusts, societies, governance",,NGO Legal & Compliance Officer,LLB/CS useful,After graduation,Law/CS/social sector; NGO compliance and donor contracts,LLB/CS/MSW optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-GOV-CSRIMPACOMPSPEC,UNI-LAW,LAW-DOM-GOV,CSR & Impact Compliance Specialist,Legal Domain Stream,Law,Corporate Governance & Social Impact,"CSR law, impact reporting, grants",,CSR & Impact Compliance Specialist,LLB/CS/MBA useful,After graduation,Law/CS/MBA/social work; CSR rules and impact measurement,LLB/CS/MBA/MSW optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-REGUAFFASPEC,UNI-LAW,LAW-DOM-FIN,Regulatory Affairs Specialist,Interdisciplinary Technology-Law Stream,Law,Sectoral Regulation,"Pharma, telecom, fintech, energy, education",,Regulatory Affairs Specialist,LLB useful; sector degree also valuable,After graduation,Law/sector degree; regulatory certifications; compliance internships,LLB/BPharm/BTech/MBA as sector-specific,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-BANKFINALAWY,UNI-LAW,LAW-DOM-FIN,Banking & Finance Lawyer,Legal Domain Stream,Law,Corporate & Finance,"Lending, project finance, fintech",,Banking & Finance Lawyer,LLB generally required,After LLB,LLB; finance and securities internships; banking law,LLB; CS/CA/CFA/NISM useful,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-FINTPAYMLAWY,UNI-LAW,LAW-DOM-FIN,FinTech / Payments Lawyer,Interdisciplinary Technology-Law Stream,Law,Technology & Finance Law,"Digital lending, UPI, crypto, payments",,FinTech / Payments Lawyer,LLB preferred; compliance/finance routes exist,After graduation/LLB,LLB/CS/MBA + fintech regulations; product/legal internships,LLB; NISM/fintech certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-SECULAWYCAPIMARK,UNI-LAW,LAW-DOM-FIN,Securities Lawyer / Capital Markets Counsel,Legal Domain Stream,Law,Corporate & Finance,"IPO, listing, funds, securities regulation",,Securities Lawyer / Capital Markets Counsel,LLB generally required,After LLB,LLB; securities law internships; finance literacy,LLB; CS/NISM useful,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-INVEFUNDLAWY,UNI-LAW,LAW-DOM-FIN,Investment Funds Lawyer,Interdisciplinary Technology-Law Stream,Law,Corporate & Finance,"AIF, mutual funds, VC, private equity",,Investment Funds Lawyer,LLB generally required,After LLB,LLB; fund documentation and securities regulation,LLB; CS/NISM/CFA optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-INSULAWYCLAICOUN,UNI-LAW,LAW-DOM-FIN,Insurance Lawyer / Claims Counsel,Interdisciplinary Technology-Law Stream,Law,Sectoral Law,"Insurance disputes, policy wording, claims",,Insurance Lawyer / Claims Counsel,LLB preferred/required for legal roles,After LLB/graduation,LLB; insurance law; claims and IRDAI exposure,LLB; insurance certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-SANCAMLCOMPSPEC,UNI-LAW,LAW-DOM-FIN,Sanctions / AML Compliance Specialist,Legal Domain Stream,Law,Financial Crime Compliance,"AML, KYC, sanctions, fraud risk",,Sanctions / AML Compliance Specialist,LLB/finance useful; not mandatory,After graduation,Law/commerce/finance; AML/KYC certifications; banking/fintech exposure,LLB/BCom/MBA; AML certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-FIN-WHITCOLLCRIMLAWY,UNI-LAW,LAW-DOM-FIN,White Collar Crime Lawyer,Legal Domain Stream,Law,Criminal & Corporate Enforcement,"Fraud, corruption, economic offences",,White Collar Crime Lawyer,LLB + Bar enrolment for practice,After LLB,LLB; criminal/economic offences; investigation exposure,LLB; forensic accounting useful,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IBC-INSOPROF,UNI-LAW,LAW-DOM-IBC,Insolvency Professional,Legal Domain Stream,Law,Insolvency & Restructuring,IBC resolution and liquidation,,Insolvency Professional,Specific professional eligibility; LLB/CA/CS/CMA routes,After professional qualification/experience,LLB/CA/CS/CMA/MBA + experience; IBBI route/PGIP,Eligible professional qualification + IBBI requirements; PGIP route,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IBC-RESOPROFSUPPANAL,UNI-LAW,LAW-DOM-IBC,Resolution Professional Support Analyst,Legal Operations Stream,Law,Insolvency & Restructuring,IBC operations support,,Resolution Professional Support Analyst,LLB/CA/CS useful,After graduation,Law/commerce/finance; IBC process training,LLB/BCom/CA/CS/CMA/MBA optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IP-INTEPROPLAWY,UNI-LAW,LAW-DOM-IP,Intellectual Property Lawyer,Legal Domain Stream,Law,IP & Innovation,"Patents, trademarks, copyright, designs",,Intellectual Property Lawyer,LLB needed for legal practice; patent agent has separate rules,After 12th/graduation,LLB; science/engineering useful for patents; IP internships,LLB; technical degree for patent agent; IP diplomas,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-IP-TRADATTOBRANPROT,UNI-LAW,LAW-DOM-IP,Trademark Attorney / Brand Protection Specialist,Legal Domain Stream,Law,IP & Innovation,"Trademark filing, opposition, enforcement",,Trademark Attorney / Brand Protection Specialist,LLB for attorney; non-law brand protection roles exist,After graduation/LLB,LLB or brand/IP operations path; trademark search and prosecution,LLB; IP diploma optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-DATAPROTOFFIPRIV,UNI-LAW,LAW-DOM-TECH,Data Protection Officer / Privacy Counsel,Interdisciplinary Technology-Law Stream,Law,Technology Law,Privacy and data protection,,Data Protection Officer / Privacy Counsel,LLB preferred for counsel; tech/privacy backgrounds accepted,After graduation/LLB,LLB/CS/IT + privacy certification; DPDP Act expertise,LLB; CIPP/E/CIPM optional; cybersecurity basics,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-CYBELAWSPEC,UNI-LAW,LAW-DOM-TECH,Cyber Law Specialist,Interdisciplinary Technology-Law Stream,Law,Technology Law,"Cybercrime, cybersecurity law",,Cyber Law Specialist,LLB preferred/needed for legal representation,After 12th/graduation,LLB + cyber law diploma/certification; digital evidence skills,LLB; cyber law/forensics certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-AIGOVEAIPOLI,UNI-LAW,LAW-DOM-TECH,AI Governance / AI Policy Lawyer,Interdisciplinary Technology-Law Stream,Law,Technology Law,"AI regulation, ethics, governance",,AI Governance / AI Policy Lawyer,LLB useful; policy/tech route possible,After graduation/LLB,LLB/public policy/tech; AI ethics and risk frameworks,LLB/LLM/Public Policy; AI governance certificates,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGATECHPRODMANA,UNI-LAW,LAW-DOM-TECH,Legal Tech Product Manager,Interdisciplinary Technology-Law Stream,Law,Legal Technology,"SaaS, workflow, System/legal ops products",,Legal Tech Product Manager,LLB not mandatory but strong advantage,After graduation,Law/CS/management + product management + legal workflow knowledge,LLB/MBA/BTech optional; product certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-ONLIDISPRESOPLAT,UNI-LAW,LAW-DOM-TECH,Online Dispute Resolution Platform Specialist,Legal Operations Stream,Law,ADR & Legal Tech,"ODR process, platform operations",,Online Dispute Resolution Platform Specialist,LLB/mediation useful but not mandatory,After graduation,Law/ADR/operations/tech; ODR platform workflows,LLB/BA/MBA; mediation training optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGAAIPROMENGI,UNI-LAW,LAW-DOM-TECH,Legal AI Prompt Engineer / Workflow Designer,Interdisciplinary Technology-Law Stream,Law,Legal Technology & AI,"Prompting, automation, legal copilots",,Legal AI Prompt Engineer / Workflow Designer,LLB highly useful; not mandatory for technical roles,After graduation,Law + AI tools + workflow automation; prompt testing and evaluation,LLB/BTech/BA + AI/no-code certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-DIGIPUBLINFRLAW,UNI-LAW,LAW-DOM-TECH,Digital Public Infrastructure Law Specialist,Interdisciplinary Technology-Law Stream,Law,Technology & Governance,"Aadhaar, UPI, ONDC, digital identity, public platforms",,Digital Public Infrastructure Law Specialist,LLB/public policy/tech route,After graduation,"Law/policy/technology; privacy, procurement, platform governance",LLB/MPP/BTech optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-TECH-LEGAENTRLEGASERV,UNI-LAW,LAW-DOM-TECH,Legal Entrepreneur / Legal Services Startup Founder,Legal Knowledge/Education Stream,Law,Entrepreneurship,"Law firm, legal tech, legal education, document services",,Legal Entrepreneur / Legal Services Startup Founder,Depends on service; LLB needed for legal practice,After 12th/graduation/LLB,LLB for practice-based venture; business/product skills for legal tech/education,LLB/MBA/BTech as per venture,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADR-ARBICOUN,UNI-LAW,LAW-DOM-ADR,Arbitration Counsel,Legal Domain Stream,Law,Dispute Resolution,Domestic and international arbitration,,Arbitration Counsel,LLB required for counsel role,After LLB/practice,LLB; arbitration internships; commercial law expertise,LLB; LLM/CIArb/ICA training optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADR-MEDICONC,UNI-LAW,LAW-DOM-ADR,Mediator / Conciliator,Legal Domain Stream,Law,Dispute Resolution,"Mediation, family/community/business disputes",,Mediator / Conciliator,LLB useful but not always mandatory; court-linked roles vary,After graduation/LLB,Mediation training; psychology/communication; law basics,LLB/psychology/social work plus mediation certification,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-INTETRADLAWY,UNI-LAW,LAW-DOM-INT,International Trade Lawyer,Legal Domain Stream,Law,International & Trade Law,"WTO, customs, trade remedies",,International Trade Lawyer,LLB preferred; LLM valuable,After graduation/LLB,LLB + international trade/economics; LLM optional,LLB/LLM; economics/trade certifications,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-IMMILAWYGLOBMOBI,UNI-LAW,LAW-DOM-INT,Immigration Lawyer / Global Mobility Advisor,Legal Domain Stream,Law,International & People Mobility,"Visas, citizenship, work permits",,Immigration Lawyer / Global Mobility Advisor,LLB required for legal practice; consultants vary by jurisdiction,After graduation/LLB,LLB or immigration consulting route; country-specific rules,LLB; global immigration certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-AVIALAWY,UNI-LAW,LAW-DOM-INT,Aviation Lawyer,Interdisciplinary Technology-Law Stream,Law,International & Transport Law,"Airline, airport, drone, leasing law",,Aviation Lawyer,LLB generally required,After LLB,"LLB; aviation regulation, finance/leasing exposure",LLB/LLM Air & Space Law optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-SPACLAWSATEPOLI,UNI-LAW,LAW-DOM-INT,Space Law & Satellite Policy Specialist,Legal Domain Stream,Law,Futuristic Sectoral Law,"Satellites, space commerce, liability",,Space Law & Satellite Policy Specialist,LLB/policy/tech route,After graduation/LLB,Law/public policy/aerospace; space policy and telecom regulation,LLB/LLM Air & Space Law/BTech Aerospace optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-INT-INTEORGALEGAOFFI,UNI-LAW,LAW-DOM-INT,International Organization Legal Officer,Legal Domain Stream,Law,International Law,"UN, development banks, treaty bodies",,International Organization Legal Officer,LLB/LLM strongly preferred; experience required,After LLB/LLM/experience,LLB + LLM/international law; internships/fellowships; languages,LLB/LLM; international relations; language skills,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-HUMARIGHLAWY,UNI-LAW,LAW-DOM-PUB,Human Rights Lawyer,Legal Domain Stream,Law,Public Interest Law,"Civil liberties, PIL, rights advocacy",,Human Rights Lawyer,LLB required for court practice; advocacy roles may not,After 12th/graduation,LLB/public policy/social work; NGO internships; litigation exposure,LLB/LLM Human Rights optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-ENVILAWYESGCOUN,UNI-LAW,LAW-DOM-PUB,Environmental Lawyer / ESG Counsel,Legal Domain Stream,Law,Public Interest & Corporate,"Environmental law, climate, ESG",,Environmental Lawyer / ESG Counsel,LLB for legal practice; ESG roles may include non-law routes,After 12th/graduation,LLB/environmental studies; ESG certifications; NGT exposure,LLB/LLM Environmental Law; ESG certs optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-LEGAAIDCOOR,UNI-LAW,LAW-DOM-PUB,Legal Aid Coordinator,Interdisciplinary Technology-Law Stream,Law,Public Interest & Administration,"Access to justice, clinics, outreach",,Legal Aid Coordinator,LLB/social work useful,After graduation/LLB,Law/social work/public administration; legal services clinics,LLB/MSW/BA; legal aid training,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PUB-LEGAETHIPROFRESP,UNI-LAW,LAW-DOM-PUB,Legal Ethics & Professional Responsibility Officer,Legal Domain Stream,Law,Governance & Ethics,"Professional conduct, conflicts, confidentiality",,Legal Ethics & Professional Responsibility Officer,LLB/ethics/compliance useful,After LLB/experience,LLB + compliance/ethics; law firm/corporate governance exposure,LLB/CS/GRC certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-FORELEGACONS,UNI-LAW,LAW-DOM-CRIM,Forensic Legal Consultant,Legal Domain Stream,Law,Criminal Justice & Forensics,"Evidence, forensic reports, expert support",,Forensic Legal Consultant,LLB useful; forensic degree often needed,After 12th/graduation,Forensic science/criminology + law basics; or LLB + forensic certification,"BSc/MSc Forensic Science, LLB optional",,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-CRIMCRIMJUSTRESE,UNI-LAW,LAW-DOM-CRIM,Criminologist / Criminal Justice Researcher,Legal Knowledge/Education Stream,Law,Criminal Justice & Policy,"Crime research, correctional policy",,Criminologist / Criminal Justice Researcher,LLB not mandatory; useful,After graduation,Criminology/sociology/law/public policy; research methods,"BA/MA Criminology, LLB/LLM optional",,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-POLILEGAADVIINVE,UNI-LAW,LAW-DOM-CRIM,Police Legal Advisor / Investigation Law Specialist,Public/Judicial Service Stream,Law,Criminal Justice & Government,"Investigation support, legal vetting",,Police Legal Advisor / Investigation Law Specialist,LLB usually required,After LLB,LLB; criminal procedure/evidence; government recruitment/consulting,LLB; criminology optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CRIM-DIGIEVIDSPEC,UNI-LAW,LAW-DOM-CRIM,Digital Evidence Specialist,Interdisciplinary Technology-Law Stream,Law,Technology Law & Forensics,"Electronic records, admissibility, chain of custody",,Digital Evidence Specialist,LLB/forensic/IT route possible,After graduation,IT/forensics/law; Evidence Act and cyber forensics,LLB/BTech/BSc Forensics; certifications optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
