stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
MGT-STR-FIN-WEALMANAASSO,UNI-MANAGEMENT,MGT-DOM-FIN,Wealth Management Associate,Advisory Stream,Management,BFSI Management,Advisory/Relationship,,Wealth Management Associate,MBA Finance useful,After graduation,BCom/BBA + MBA Finance/NISM modules; relationship role,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-FIN-FUNDINVERELAASSO,UNI-MANAGEMENT,MGT-DOM-FIN,Fundraising / Investor Relations Associate,Enterprise/Management Stream,Management,Startup/Finance,Funding & IR,,Fundraising / Investor Relations Associate,MBA Finance useful,After graduation,Commerce/economics/BBA + pitch and finance skills,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-FIN-BANKOPERMANA,UNI-MANAGEMENT,MGT-DOM-FIN,Banking Operations Manager,Functional Management Stream,Management,BFSI Management,Branch/Back-office Ops,,Banking Operations Manager,MBA Finance useful,After graduation,BCom/BBA + bank exams/private bank training; MBA helps,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-FIN-RISKMANA,UNI-MANAGEMENT,MGT-DOM-FIN,Risk Manager,Functional Management Stream,Management,BFSI/Enterprise,Financial/Operational Risk,,Risk Manager,MBA Finance/FRM useful,After graduation,BCom/Econ/Engineering + MBA Finance/FRM/analytics,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-HR-HUMARESOMANA,UNI-MANAGEMENT,MGT-DOM-HR,Human Resource Manager,Functional Management Stream,Management,HR Management,Talent & People Operations,,Human Resource Manager,MBA HR preferred,After graduation,Any UG + MBA HR/MA HRM; HR internships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-HR-HRRECRRECRCONS,UNI-MANAGEMENT,MGT-DOM-HR,HR Recruiter / Recruitment Consultant,Enterprise/Management Stream,Management,HR & Livelihood,Recruitment Services,,HR Recruiter / Recruitment Consultant,MBA HR optional,After graduation,Any UG + recruitment internships + LinkedIn/Naukri tools,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-OPERMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Operations Manager,Functional Management Stream,Management,Operations,Process and Service Operations,,Operations Manager,MBA Ops useful,After graduation,Engineering/BBA/BCom + MBA Operations; Lean/Six Sigma,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-SUPPCHAIMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Supply Chain Manager,Interdisciplinary Digital Stream,Management,Operations & SCM,Logistics and Procurement,,Supply Chain Manager,MBA SCM/PG diploma useful,After graduation,BBA/BCom/Engineering + MBA SCM/logistics courses,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-RETASTORMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Retail Store Manager,Interdisciplinary Digital Stream,Management,Retail Management,Store Operations,,Retail Store Manager,Degree/diploma useful; MBA optional,After 12th/Graduation,BBA Retail/Retail diploma + store experience,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-MANACONS,UNI-MANAGEMENT,MGT-DOM-OPS,Management Consultant,Advisory Stream,Management,Consulting,Strategy/Operations/Transformation,,Management Consultant,MBA from strong institute preferred,After graduation/Work-ex,UG + MBA/PGDM + case prep; domain experience,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-HOTEHOSPMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Hotel / Hospitality Manager,Sector Management Stream,Management,Sector Management,Hospitality Operations,,Hotel / Hospitality Manager,BHM/MBA Hospitality useful,After 12th,BHM after 12th; MBA Hospitality later,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-EVENMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Event Manager,Sector Management Stream,Management,Sector Management,Event Operations,,Event Manager,Degree useful; MBA optional,After 12th,BBA/Event diploma + internships; MBA Event for scale,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-AVIAOPERMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Aviation Operations Manager,Interdisciplinary Digital Stream,Management,Sector Management,Aviation/Airport Operations,,Aviation Operations Manager,Aviation management degree useful,After 12th/Graduation,BBA Aviation/airport management; MBA later,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-LOGIPORTOPERMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Logistics / Port Operations Manager,Sector Management Stream,Management,Sector Management,"Port, Shipping, Warehousing",,Logistics / Port Operations Manager,Logistics/SCM education useful,After 12th/Graduation,BBA Logistics/PGDM Logistics; field exposure,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-EDUCEDTEMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Education / EdTech Manager,Interdisciplinary Digital Stream,Management,Sector Management,Education Business Operations,,Education / EdTech Manager,Management degree helpful; domain knowledge key,After graduation,BBA/BA/BSc + edtech internships; MBA optional,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-STAROPERASSOMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Startup Operations Associate/Manager,Enterprise/Management Stream,Management,Entrepreneurship,Founder Office & Ops,,Startup Operations Associate/Manager,MBA optional,After graduation,Any UG + startup internships; MBA helps for scale,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-FRANBUSIMANACONS,UNI-MANAGEMENT,MGT-DOM-OPS,Franchise Business Manager/Consultant,Enterprise/Management Stream,Management,Entrepreneurship,Franchise Operations,,Franchise Business Manager/Consultant,MBA optional,After graduation/experience,BBA/MBA + retail/operations experience,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-POLICAMPMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Political Campaign Manager,Interdisciplinary Digital Stream,Management,Niche Management,Election/Campaign Operations,,Political Campaign Manager,Degree useful; MBA not necessary,After graduation,Political science/media/management + campaign volunteering,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-PROCMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Procurement Manager,Functional Management Stream,Management,Operations,Sourcing & Vendor Management,,Procurement Manager,MBA SCM useful,After graduation,BCom/BBA/Engineering + MBA SCM/operations,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-QUALMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Quality Manager,Functional Management Stream,Management,Operations,Quality Systems,,Quality Manager,MBA Ops/quality cert useful,After graduation,Engineering/science/commerce + quality tools + MBA optional,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-TOURBUSIMANA,UNI-MANAGEMENT,MGT-DOM-OPS,Tourism Business Manager,Sector Management Stream,Management,Sector Management,Tourism Operations,,Tourism Business Manager,BBA/MBA Tourism useful,After 12th/Graduation,Tourism/hospitality UG + field internships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-HERIEXPEMUSEOPER,UNI-MANAGEMENT,MGT-DOM-OPS,Heritage Experience & Museum Operations Manager,Functional Management Stream,Management,Interdisciplinary Management,Heritage / Museum / Tourism,,Heritage Experience & Museum Operations Manager,MBA not mandatory; specialized heritage/tourism training useful,After graduation,BA History/Archaeology/Tourism + management/event skills,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-OPS-PUBLOPERLITEBUSI,UNI-MANAGEMENT,MGT-DOM-OPS,Publishing Operations & Literary Business Manager,Functional Management Stream,Management,Interdisciplinary Management,Publishing / Content Economy,,Publishing Operations & Literary Business Manager,MBA optional; language/literature background useful,After graduation,BA English/Marathi/Hindi + publishing/editing + business operations,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ANA-BUSIANAL,UNI-MANAGEMENT,MGT-DOM-ANA,Business Analyst,Functional Management Stream,Management,Analytics Management,Process and Data Analysis,,Business Analyst,MBA/analytics degree useful,After graduation,Any UG + analytics certifications + MBA/PGDM Analytics optional,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ANA-BUSIRESEANAL,UNI-MANAGEMENT,MGT-DOM-ANA,Business Research Analyst,Advisory Stream,Management,Analytics/Consulting,Market & Competitor Research,,Business Research Analyst,MBA optional,After graduation,Any UG + research/report writing + data skills,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-CONS-MSMEBUSIDIGICONS,UNI-MANAGEMENT,MGT-DOM-CONS,MSME Business Digitization Consultant,Enterprise/Management Stream,Management,Livelihood Management,Small Business Advisory,,MSME Business Digitization Consultant,MBA not compulsory; skills critical,After 12th/Graduation,Commerce/management/IT skills + digital tools portfolio,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ENT-FAMIBUSIMANA,UNI-MANAGEMENT,MGT-DOM-ENT,Family Business Manager,Enterprise/Management Stream,Management,Entrepreneurship,Family Enterprise,,Family Business Manager,BBA/MBA Family Business useful,After 12th/Graduation,BBA/BCom + family business exposure; MBA family business,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-PRODMANA,UNI-MANAGEMENT,MGT-DOM-PROD,Product Manager,Interdisciplinary Digital Stream,Management,Tech Management,Digital Product,,Product Manager,MBA optional; tech/business skills key,After graduation/Experience,Any UG + product internships/certifications; MBA helps,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-PRODOPERMANA,UNI-MANAGEMENT,MGT-DOM-PROD,Product Operations Manager,Interdisciplinary Digital Stream,Management,Tech Management,Product Ops,,Product Operations Manager,MBA not compulsory,After graduation,UG + SaaS/product ops projects + analytics tools,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-CUSTSUCCMANA,UNI-MANAGEMENT,MGT-DOM-PROD,Customer Success Manager,Interdisciplinary Digital Stream,Management,Tech Management,SaaS Customer Management,,Customer Success Manager,Degree useful; MBA optional,After graduation,Any UG + SaaS internships + CRM/communication,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-REVEOPERANALMANA,UNI-MANAGEMENT,MGT-DOM-PROD,Revenue Operations Analyst/Manager,Interdisciplinary Digital Stream,Management,Tech Management,RevOps,,Revenue Operations Analyst/Manager,MBA optional; analytics critical,After graduation,BBA/BCom/Any UG + CRM/data tools + sales ops exposure,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-PROD-DIGITRANMANA,UNI-MANAGEMENT,MGT-DOM-PROD,Digital Transformation Manager,Interdisciplinary Digital Stream,Management,Tech Management,Enterprise Transformation,,Digital Transformation Manager,MBA/IT management useful,After graduation/experience,BBA/Engineering + MBA Systems/IT + transformation projects,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-DIG-ECOMMOPERMANA,UNI-MANAGEMENT,MGT-DOM-DIG,E-commerce Operations Manager,Interdisciplinary Digital Stream,Management,Digital Management,Marketplace & D2C Ops,,E-commerce Operations Manager,MBA optional,After 12th/Graduation,BBA/BCom + ecommerce marketplace training,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-DIG-CREABUSIMANA,UNI-MANAGEMENT,MGT-DOM-DIG,Creator Business Manager,Functional Management Stream,Management,Creator Economy,Creator/Influencer Operations,,Creator Business Manager,MBA not compulsory,After 12th/Graduation,Media/business skills + creator economy projects,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-DIG-TALEMANA,UNI-MANAGEMENT,MGT-DOM-DIG,Talent Manager,Functional Management Stream,Management,Media/Sports/Creator,Talent Representation,,Talent Manager,MBA optional; network critical,After 12th/Graduation,Media/sports/business exposure + contracts knowledge,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-AI-NOCODEBUSIAUTO,UNI-MANAGEMENT,MGT-DOM-AI,No-Code Business Automation Consultant,Enterprise/Management Stream,Management,AI/Tech Livelihood,Automation Services,,No-Code Business Automation Consultant,MBA not compulsory,After 12th/Graduation,Learn no-code tools + business process mapping,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-AI-AISTRAASSO,UNI-MANAGEMENT,MGT-DOM-AI,AI Strategy Associate,Interdisciplinary Digital Stream,Management,AI-Era Management,Business AI Adoption,,AI Strategy Associate,MBA optional; AI literacy essential,After graduation,Any UG + management + AI tools/projects; MBA helps,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-AI-PROMOPERMANA,UNI-MANAGEMENT,MGT-DOM-AI,Prompt Operations Manager,Interdisciplinary Digital Stream,Management,AI-Era Management,AI Content/Workflow Ops,,Prompt Operations Manager,MBA not compulsory,After 12th/Graduation,Domain knowledge + GenAI workflow portfolio,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ESG-DEVESECTMANA,UNI-MANAGEMENT,MGT-DOM-ESG,Development Sector Manager,Sector Management Stream,Management,Sector Management,NGO/CSR/Development Management,,Development Sector Manager,MSW/MBA Development useful,After graduation,Any UG + development management/rural management PG,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ESG-SUSTESGMANA,UNI-MANAGEMENT,MGT-DOM-ESG,Sustainability / ESG Manager,Interdisciplinary Digital Stream,Management,Emerging Management,ESG & Climate Business,,Sustainability / ESG Manager,MBA sustainability/ESG cert useful,After graduation,Any UG + MBA/PGDM Sustainability/ESG certificates,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-ESG-CSRMANA,UNI-MANAGEMENT,MGT-DOM-ESG,CSR Manager,Interdisciplinary Digital Stream,Management,Sustainability/Development,CSR & Impact,,CSR Manager,MBA/Development PG useful,After graduation,Any UG + MBA/PG social sector + CSR internships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-HEA-HOSPADMI,UNI-MANAGEMENT,MGT-DOM-HEA,Hospital Administrator,Sector Management Stream,Management,Sector Management,Healthcare Management,,Hospital Administrator,MHA/MBA Healthcare preferred,After graduation,BBA/BSc/MBBS/any UG + MHA/MBA Healthcare,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-HOS-SPORMANA,UNI-MANAGEMENT,MGT-DOM-HOS,Sports Manager,Sector Management Stream,Management,Sector Management,Sports Business,,Sports Manager,Sports management degree useful,After 12th/Graduation,BBA/BSc Sports Mgmt or MBA Sports Mgmt,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-EDU-TRAIDEVEMANA,UNI-MANAGEMENT,MGT-DOM-EDU,Training & Development Manager,Interdisciplinary Digital Stream,Management,HR/Education,Learning and Development,,Training & Development Manager,MBA HR/education useful,After graduation,Any UG + facilitation + HR/L&D certifications,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-EDU-COLLINSTADMI,UNI-MANAGEMENT,MGT-DOM-EDU,College/Institution Administrator,Functional Management Stream,Management,Education Management,Academic Administration,,College/Institution Administrator,MBA/Education Mgmt useful,After graduation,Any UG + education admin exposure; MBA/MA Education Mgmt,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-RUR-AGRIMANA,UNI-MANAGEMENT,MGT-DOM-RUR,Agribusiness Manager,Sector Management Stream,Management,Sector Management,"Agri, Food & Rural Business",,Agribusiness Manager,MBA Agribusiness useful,After graduation,BSc Agri/BBA/BCom + MBA Agribusiness,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-TRAD-INTETRADMANA,UNI-MANAGEMENT,MGT-DOM-TRADE,International Trade Manager,Sector Management Stream,Management,Sector Management,Export-Import,,International Trade Manager,MBA IB useful,After graduation,BCom/BBA + MBA International Business + EXIM knowledge,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-TRAD-MERCMANA,UNI-MANAGEMENT,MGT-DOM-TRADE,Merchandising Manager,Interdisciplinary Digital Stream,Management,Retail/Fashion,Buying and Merchandising,,Merchandising Manager,BBA/Fashion/MBA Retail useful,After 12th/Graduation,Fashion/retail degree + merchandising internships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-CREA-MEDIBUSIMANA,UNI-MANAGEMENT,MGT-DOM-CREAT,Media Business Manager,Interdisciplinary Digital Stream,Management,Sector Management,Media/Entertainment Business,,Media Business Manager,MBA Media/Event useful,After graduation,BMS/BMM/BBA + MBA Media/Entertainment,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-CREA-CULTENTEMANA,UNI-MANAGEMENT,MGT-DOM-CREAT,Cultural Enterprise Manager,Functional Management Stream,Management,Interdisciplinary Management,Culture & Creative Economy,,Cultural Enterprise Manager,MBA optional; arts/humanities background useful,After graduation,BA/BBA + cultural management/event/heritage training,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
