stream_code,career_outcome_code,domain_code,universe_code,name,parent_disciplines_raw,hybrid_cluster,structured_courses,eligibility,entry_stage,institutions_ecosystem,entrance_route,core_skills,preparation_8_12,salary_revenue_raw,work_mode,enterprise_scope,ai_technology_exposure,portfolio_requirement,mission_relevance,career_maturity,source_url,governance_status,version,source_document
INT-STR-LAWT-LEGADESICONS,CAR-INT-LAWT-LEGADESICONS,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,Legal Design Consultant,Law + Design + Communication,Law + Design,LLB + design thinking; LLM legal tech; communication design + legal literacy,Law/Design/Communication background,Graduation / PG,"NLUs, design schools, legal tech programs",CLAT/UCEED/CEED/institute tests,"Legal simplification, visual design, UX, policy","Debate, design, writing, civics",₹5-18 LPA,Consulting/LegalTech/Hybrid,High: legal document design studio,High,High: legal infographics/templates,"Access to justice, Digital India",Emerging,https://admissions.nid.edu/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-LAWT-SPACPOLIBUSIANAL,CAR-INT-LAWT-SPACPOLIBUSIANAL,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,Space Policy & Business Analyst,Space Science + Law + Policy + Business,Space + Policy,MSc/MA public policy; space science/engineering + policy; law + space policy,Science/engineering/law/policy background,Graduation / PG,"IISERs, IITs, NLSIU policy, space-tech ecosystem",CUET/GATE/NLSAT/institute tests,"Policy analysis, space economy, regulation, tech literacy","Physics, maths, civics, science writing",₹6-20 LPA,Policy/Startup/Consulting,Medium: space policy research,High,High: policy briefs/research,"IN-SPACe, Startup India, IndiaAI",Emerging,https://www.startupindia.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-LAWT-LEGADATAANAL,CAR-INT-LAWT-LEGADATAANAL,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,Legal Data Analyst,Law + Data Analytics,Law + Analytics,LLB + data analytics; legal tech PG diploma; statistics + legal compliance,Law graduate preferred; data skills required,Graduation / PG,"NLUs, private universities, legal tech ecosystem",CLAT/Institute selection,"Legal research, Excel/SQL, compliance analytics","Civics, logic, spreadsheet, reading cases",₹5-16 LPA,LegalTech/Compliance/Hybrid,High: legal analytics services,High,High: case/data dashboards,"Digital courts, DPDP ecosystem",Emerging-Structured,https://www.nls.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-POLI-DEVECOMMSPEC,CAR-INT-POLI-DEVECOMMSPEC,INT-DOM-POLICY,UNI-INTERDISCIPLINARY,Development Communication Specialist,Media + Sociology + Public Policy,Communication + Development,MA Development Communication; Mass Communication + Development Studies,Any graduate; media/social science backgrounds useful,Graduation / PG,"TISS, Jamia, Central Universities, media institutes",CUET PG/Institute tests,"Writing, campaign design, social research, audio-visual skills","Writing, public speaking, social awareness",₹4-12 LPA,NGO/CSR/Media/Hybrid,High: social campaign agency,Medium,High: campaign portfolio,"Skill India, health/education missions",Established,https://admissions.tiss.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-POLI-SOCIIMPAMEASANAL,CAR-INT-POLI-SOCIIMPAMEASANAL,INT-DOM-POLICY,UNI-INTERDISCIPLINARY,Social Impact Measurement Analyst,Development Studies + Statistics + Management,Social Sector + Analytics,MA Development Studies; M&E diploma; Public policy/management,Any graduate; social science/statistics helpful,Graduation / PG,"TISS, IRMA, Azim Premji, development institutes",CUET PG/institute tests,"Monitoring & evaluation, survey design, dashboards","Social work, statistics, field exposure",₹4-14 LPA,NGO/CSR/Consulting,High: impact reporting services,Medium-High,High: field reports/data projects,"CSR, SDGs, aspirational districts",Established-Emerging,https://admissions.tiss.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-POLI-COMPSOCISCIE,CAR-INT-POLI-COMPSOCISCIE,INT-DOM-POLICY,UNI-INTERDISCIPLINARY,Computational Social Scientist,Sociology/Economics + Data Science,Social Science + Data,MA/MSc Computational Social Science; public policy/data science,Social science/economics/statistics/CS background,Graduation / PG,"IITs, IIITs, liberal arts universities, policy schools",CUET PG/GATE/institute tests,"Statistics, Python/R, surveys, causal thinking",Social science reading + coding + statistics,₹6-20 LPA,Research/Consulting/Hybrid,Medium: survey/data research services,Very High,"High: datasets, papers, dashboards","Open data, Digital India",Emerging-Structured,https://onlinedegree.iitm.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-HUMT-DIGIHUMARESE,CAR-INT-HUMT-DIGIHUMARESE,INT-DOM-HUMTECH,UNI-INTERDISCIPLINARY,Digital Humanities Researcher,Literature/History + Data + Digital Archives,Humanities + Technology,MA Digital Humanities; History/Literature with digital methods; archival studies,BA humanities; CS/data skills optional but useful,Graduation / PG,"Central Universities, IIT humanities schools, archives, liberal arts universities",CUET PG/institute selection,"Text analysis, archiving, metadata, digital storytelling","Reading, writing, basic coding, history/literature projects",₹4-12 LPA; research roles vary,Research/Archive/Hybrid,Medium: digital archive services,High,High: digital archive/text project,"National Digital Library, cultural digitization",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-HUMT-MUSEHERIEXPEMANA,CAR-INT-HUMT-MUSEHERIEXPEMANA,INT-DOM-HUMTECH,UNI-INTERDISCIPLINARY,Museum & Heritage Experience Manager,History + Design + Tourism + Management,Culture + Experience,MA Heritage Management/Museology; Tourism/Design management,Any graduate; history/archaeology/tourism/design preferred,Graduation / PG,"National Museum Institute, heritage universities, tourism institutes",CUET PG/institute tests,"Curation, storytelling, event management, archives","History, art, writing, local heritage projects",₹4-12 LPA,Museum/Tourism/Hybrid,High: heritage walks/experience design,Medium,Very High: heritage portfolio,"Cultural tourism, heritage missions",Established-Emerging,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-MEDI-SCIECOMMSPEC,CAR-INT-MEDI-SCIECOMMSPEC,INT-DOM-MEDIAAI,UNI-INTERDISCIPLINARY,Science Communication Specialist,Science + Media + Education,Science + Communication,MSc Science Communication; Journalism with science; science education programs,Science UG preferred; media/language skills useful,Graduation / PG,"Central universities, science communication centers, media institutes",CUET PG/institute tests,"Writing, visualization, science literacy","Science club, writing, presentations",₹4-12 LPA,Media/Education/Hybrid,High: content studio/workshops,Medium,High: articles/videos/explainers,Vigyan Prasar/Science outreach ecosystems,Established-Emerging,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-MEDI-DATAJOURANAL,CAR-INT-MEDI-DATAJOURANAL,INT-DOM-MEDIAAI,UNI-INTERDISCIPLINARY,Data Journalism Analyst,Journalism + Statistics + Coding,Media + Data,BA Journalism; MA Data Journalism; Data analytics certification with journalism,Any stream; maths/statistics helpful,After 12th / Graduation,"Media schools, central universities, online degree/cert ecosystems",CUET/Institute tests,"Data cleaning, visualization, investigative writing","Newspaper reading, Excel, writing, charts",₹4-14 LPA,Media/Remote/Hybrid,High: data storytelling services,High,Very High: articles/dashboard portfolio,"Open data, Digital India",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-MEDI-FILMMEDIBUSIMANA,CAR-INT-MEDI-FILMMEDIBUSIMANA,INT-DOM-MEDIAAI,UNI-INTERDISCIPLINARY,Film & Media Business Manager,Film + Business + Digital Platforms,Media + Business,Film studies/media management; MBA media; production management,Any graduate; media/business background useful,Graduation / PG,"FTII, SRFTI, media universities, private film schools",Institute exams/CUET PG,"Production budgeting, rights, distribution, marketing","Drama/media clubs, writing, editing basics",₹4-18 LPA; project-based variable,Studio/OTT/Freelance/Hybrid,High: production services/agency,Medium-High,High: production/project portfolio,"Creative economy, Digital India",Established-Emerging,https://www.ftii.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-DESI-FASHTECHBUSIMANA,CAR-INT-DESI-FASHTECHBUSIMANA,INT-DOM-DESIGN,UNI-INTERDISCIPLINARY,Fashion Technology & Business Manager,Fashion Design + Technology + Retail,Fashion + Business,BDes/BFTech/MFM; fashion management; retail management,Any stream for design; PCM often for BFTech; graduation for PG,After 12th / Graduation,"NIFT, private fashion institutes",NIFT entrance/institute tests,"Retail, merchandising, textiles, e-commerce","Art/design, commerce basics, trend observation",₹4-16 LPA,Retail/Brand/Hybrid,High: boutique brand/merchandising,Medium-High,Very High: design/business portfolio,"MSME, Digital Commerce, ONDC",Established,https://www.nift.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-EDTE-MEDTOPERMANA,CAR-INT-EDTE-MEDTOPERMANA,INT-DOM-EDTECH,UNI-INTERDISCIPLINARY,MedTech Operations Manager,Biomedical + Management + Data,Healthcare + Product,Biomedical engineering/BSc + MBA Healthcare; PG MedTech management,PCM/PCB for biomedical/health; any graduate for MBA healthcare,After 12th / Graduation,"IIHMR, IITs, biomedical programs, healthcare institutes",JEE/CUET/CAT/CMAT/institute exams,"Operations, device basics, hospital workflow, compliance","Science, maths, healthcare awareness, robotics clubs",₹6-20 LPA,Hospital/MedTech/Hybrid,High: device adoption consulting,High,Medium: product workflow cases,"Digital Health, Make in India",Emerging-Structured,https://iihmr.edu.in/program/mba-hospital-and-health-management,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-EDTE-EDUCTECHSPEC,CAR-INT-EDTE-EDUCTECHSPEC,INT-DOM-EDTECH,UNI-INTERDISCIPLINARY,Educational Technology Specialist,Education + Technology + Content + Data,EdTech + Learning,BEd/MEd Educational Technology; MA Education; instructional design PG,Any graduate; education/psychology/IT background useful,Graduation / PG,"TISS, central universities, education schools, IITM online support",CUET PG/institute tests,"Instructional design, LMS, pedagogy, analytics","Teaching club, content creation, coding awareness",₹4-16 LPA,EdTech/School/Hybrid,High: course design services,High,"High: sample modules, lesson plans","Digital India, NEP, SWAYAM",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-EDTE-EDUCDATAANAL,CAR-INT-EDTE-EDUCDATAANAL,INT-DOM-EDTECH,UNI-INTERDISCIPLINARY,Educational Data Analyst,Education + Statistics + Technology,Education + Analytics,MA Education; MEd; analytics/data science; educational technology,Any graduate; education/statistics/IT helpful,Graduation / PG,"TISS, central universities, IITM online, EdTech institutes",CUET PG/institute tests,"Learning analytics, assessment, dashboards","Maths, teaching, Excel, school project data",₹4-15 LPA,EdTech/Schools/Research,High: assessment analytics services,High,High: dashboards/reports,"NEP, DIKSHA, Digital India",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-HEAL-PHARMANAPROF,CAR-INT-HEAL-PHARMANAPROF,INT-DOM-HEALTH,UNI-INTERDISCIPLINARY,Pharma Management Professional,Pharmacy + Management + Regulation,Pharma + Business,BPharm/MPharm + MBA Pharma; MBA Pharmaceutical Management,BPharm/life sciences/any grad depending programme,Graduation / PG,"NIPER, IIHMR, pharma management institutes",GPAT/CAT/CMAT/NIPER exams,"Pharma marketing, regulation, market access","Chemistry, biology, business awareness",₹5-18 LPA,Pharma corporate/Hybrid,Medium: pharma market research services,Medium,Medium: market reports,"Make in India, pharma sector",Established,https://www.niper.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
